map,scenario,evacuee_density,average_completion_time,average_survival_rate
baseline_1,no aids,small,54.0,"[11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 10.9, 10.9, 10.8, 10.7, 10.7, 10.7, 10.3, 10.3, 10.1, 10.0, 10.0, 10.0, 10.0, 9.9, 9.7, 9.6, 9.5, 9.4, 9.2, 9.2, 9.0, 9.0, 8.9, 8.8, 8.6, 8.4, 8.4, 8.4, 8.2, 8.2, 8.2, 8.2, 8.2, 8.1]"
baseline_1,no aids,medium,58.9,"[33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 32.9, 32.8, 32.7, 32.7, 32.7, 32.6, 32.6, 32.6, 32.6, 32.5, 32.4, 32.2, 31.9, 31.7, 31.5, 31.2, 30.7, 30.4, 30.0, 29.7, 29.6, 28.9, 28.6, 27.8, 27.5, 26.8, 26.4, 25.9, 25.8, 25.5, 25.3, 25.1, 25.0, 24.5, 24.2, 23.9, 23.7, 23.6, 23.5, 23.0, 22.7, 22.4, 22.1, 21.9, 21.9, 21.7]"
baseline_1,no aids,large,61.2,"[56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 55.9, 55.8, 55.8, 55.8, 55.7, 55.7, 55.6, 55.4, 55.3, 54.7, 54.5, 54.4, 54.0, 53.8, 53.4, 53.1, 52.4, 51.9, 51.2, 50.5, 49.8, 47.9, 46.8, 45.5, 44.7, 43.6, 42.4, 41.3, 40.4, 39.1, 38.1, 36.9, 36.3, 34.7, 33.9, 33.1, 32.8, 32.0, 31.6, 31.4, 30.8, 30.4, 30.2, 30.1, 29.8, 29.7, 29.7, 29.5, 29.5, 29.5, 29.4]"
baseline_1,lightstrips,small,53.8,"[11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 10.9, 10.9, 10.9, 10.9, 10.9, 10.8, 10.8, 10.8, 10.8, 10.8, 10.8, 10.6, 10.4, 9.9, 9.9, 9.8, 9.8, 9.6, 9.5, 9.5, 9.3, 9.2, 9.1, 8.8, 8.8, 8.8, 8.5, 8.5, 8.4, 8.3, 8.3, 8.3, 8.2, 7.9, 7.9, 7.8]"
baseline_1,lightstrips,medium,58.4,"[33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 32.9, 32.9, 32.9, 32.9, 32.9, 32.9, 32.9, 32.9, 32.5, 32.5, 32.4, 32.2, 31.9, 31.7, 31.3, 30.8, 30.5, 30.2, 29.9, 29.6, 28.8, 28.1, 27.4, 27.3, 26.9, 26.4, 25.9, 25.6, 25.3, 25.0, 24.5, 24.3, 23.8, 23.6, 23.4, 23.1, 22.9, 22.7, 22.5, 22.3, 22.2, 22.0, 22.0, 21.8, 21.6, 21.5]"
baseline_1,lightstrips,large,59.5,"[56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 55.9, 55.8, 55.8, 55.6, 55.6, 55.6, 55.4, 55.3, 55.0, 54.9, 54.4, 54.2, 54.0, 53.6, 53.0, 52.7, 51.5, 51.1, 49.9, 48.8, 48.2, 47.1, 45.9, 45.1, 43.9, 42.7, 40.5, 39.4, 37.9, 36.8, 35.9, 35.2, 34.1, 33.3, 32.3, 31.8, 31.5, 30.6, 30.3, 29.4, 29.3, 29.2, 28.8, 28.7, 28.7, 28.6]"
baseline_1,firealarms,small,48.8,"[11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.7, 10.7, 10.7, 10.7, 10.6, 10.3, 10.1, 9.9, 9.8, 9.8, 9.7, 9.5, 9.2, 9.1, 9.1, 9.1, 9.1, 9.1, 9.1, 9.1, 9.1, 9.1, 9.1, 9.1, 9.1, 9.1, 9.1, 9.1, 9.1, 9.1, 9.1, 9.1, 9.1, 9.1, 9.1, 9.1, 9.0]"
baseline_1,firealarms,medium,54.3,"[33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 32.8, 32.8, 32.5, 32.4, 32.4, 32.3, 32.3, 32.3, 32.0, 31.7, 31.5, 31.1, 30.6, 30.6, 30.1, 29.8, 28.7, 28.4, 27.5, 27.2, 27.0, 26.5, 26.1, 25.8, 25.4, 25.2, 24.8, 24.8, 24.7, 24.5, 24.5, 24.5, 24.5, 24.5, 24.4, 24.4, 24.2, 24.2, 24.2, 24.1, 24.1, 24.1, 24.0, 23.9]"
baseline_1,firealarms,large,57.8,"[56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 55.9, 55.9, 55.9, 55.8, 55.5, 55.4, 55.3, 54.8, 54.6, 54.4, 54.2, 53.5, 53.2, 52.4, 51.9, 50.6, 49.4, 48.4, 47.2, 46.3, 44.7, 43.8, 42.8, 41.6, 39.4, 38.2, 37.5, 36.7, 35.7, 35.2, 34.5, 34.1, 33.6, 33.2, 32.6, 32.4, 32.1, 32.0, 31.6, 31.6, 31.6, 31.5, 31.3, 31.3, 31.2]"
baseline_1,combined,small,47.2,"[11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 10.9, 10.9, 10.9, 10.9, 10.8, 10.7, 10.7, 10.5, 10.4, 10.3, 10.2, 10.1, 10.0, 9.9, 9.8, 9.8, 9.4, 9.3, 9.1, 9.1, 9.1, 8.9, 8.9, 8.9, 8.9, 8.9, 8.9, 8.9, 8.9]"
