map,scenario,evacuee_density,average_completion_time,average_survival_rate
obstacles_2,no aids,small,75.4,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 15.9, 15.9, 15.9, 15.9, 15.9, 15.9, 15.9, 15.9, 15.9, 15.9, 15.8, 15.8, 15.8, 15.7, 15.7, 15.7, 15.7, 15.7, 15.7, 15.7, 15.7, 15.7, 15.7, 15.7, 15.7, 15.7, 15.7, 15.6]"
obstacles_2,no aids,medium,84.9,"[50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 49.9, 49.8, 49.8, 49.8, 49.7, 49.7, 49.7, 49.5, 49.5, 49.5, 49.5, 49.5, 49.5, 49.5, 49.5, 49.5, 49.5, 49.5, 49.5, 49.5, 49.5, 49.5, 49.5, 49.5, 49.4, 49.3, 49.3, 49.3, 49.2, 49.2, 49.2, 49.2, 49.2, 49.2, 49.1, 49.1, 49.0, 49.0, 49.0, 48.9, 48.9, 48.8, 48.7, 48.7, 48.7, 48.7, 48.7, 48.6, 48.5, 48.5, 48.4, 48.4, 48.3, 48.0, 48.0, 47.7, 47.6, 47.5, 47.3, 47.2, 47.2, 47.1, 47.1, 47.1, 47.0, 46.9, 46.9, 46.9, 46.6, 46.6, 46.6, 46.6, 46.6, 46.6, 46.5, 46.4, 46.3, 46.3, 46.2]"
obstacles_2,no aids,large,86.8,"[84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 83.9, 83.9, 83.8, 83.8, 83.6, 83.5, 83.4, 83.4, 83.3, 83.3, 83.3, 83.3, 83.3, 83.2, 83.2, 83.2, 83.1, 83.0, 83.0, 82.9, 82.9, 82.9, 82.7, 82.6, 82.6, 82.6, 82.5, 82.5, 82.5, 82.5, 82.5, 82.5, 82.5, 82.5, 82.5, 82.4, 82.2, 81.8, 81.5, 80.9, 80.7, 80.2, 80.0, 79.9, 79.6, 79.5, 79.5, 79.4, 79.0, 78.8, 78.7, 78.0, 77.7, 77.5, 77.5, 77.2, 77.0, 76.8, 76.8, 76.6, 76.4, 75.9, 75.8, 75.5, 75.3, 75.2, 75.1, 74.7, 74.3, 73.7, 73.5, 73.3, 73.0, 73.0, 72.9, 72.7, 72.6, 72.6, 72.6, 72.6]"
obstacles_2,lightstrips,small,72.4,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 15.9, 15.9, 15.9, 15.9, 15.9, 15.9, 15.9, 15.9, 15.9, 15.9, 15.9, 15.9, 15.9, 15.9, 15.9, 15.9, 15.9, 15.9, 15.9, 15.9, 15.9, 15.9, 15.9, 15.9, 15.9, 15.9, 15.9, 15.9, 15.9, 15.9, 15.9, 15.9, 15.9, 15.9, 15.9, 15.9, 15.9, 15.9, 15.9, 15.9, 15.8, 15.8, 15.7, 15.6, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.4, 15.3]"
obstacles_2,lightstrips,medium,85.8,"[50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 49.9, 49.9, 49.7, 49.7, 49.7, 49.5, 49.4, 49.3, 49.3, 49.3, 49.3, 49.3, 49.2, 49.2, 49.2, 49.2, 49.2, 49.2, 49.2, 49.2, 49.2, 49.2, 49.2, 49.1, 48.9, 48.9, 48.9, 48.9, 48.9, 48.8, 48.7, 48.7, 48.7, 48.7, 48.7, 48.6, 48.6, 48.6, 48.6, 48.6, 48.6, 48.6, 48.6, 48.6, 48.5, 48.4, 48.4, 48.4, 48.4, 48.3, 48.0, 48.0, 47.6, 47.4, 47.3, 47.2, 46.9, 46.7, 46.7, 46.6, 46.5, 46.3, 46.2, 46.2, 46.2, 46.0, 46.0, 46.0, 45.9, 45.9, 45.8, 45.6, 45.5, 45.5, 45.5, 45.5, 45.4, 45.4, 45.4]"
obstacles_2,lightstrips,large,85.2,"[84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 83.9, 83.9, 83.9, 83.9, 83.9, 83.9, 83.9, 83.9, 83.9, 83.9, 83.9, 83.8, 83.8, 83.8, 83.8, 83.7, 83.7, 83.7, 83.7, 83.5, 83.5, 83.4, 83.3, 83.2, 83.0, 83.0, 83.0, 83.0, 83.0, 83.0, 83.0, 82.8, 82.8, 82.8, 82.8, 82.6, 82.5, 82.4, 82.4, 82.3, 82.1, 81.9, 81.8, 81.6, 81.4, 81.1, 80.9, 80.6, 80.4, 80.4, 80.0, 79.8, 79.7, 79.5, 79.5, 79.3, 78.7, 78.4, 78.1, 77.7, 77.5, 77.0, 76.9, 76.4, 76.0, 75.3, 75.1, 75.0, 74.7, 74.4, 74.4, 74.4, 74.3, 74.2, 74.0, 73.7, 73.6, 73.4, 73.3, 73.3, 73.2, 72.9, 72.7, 72.6, 72.5, 72.4, 72.3, 71.9, 71.8, 71.8, 71.7, 71.3]"
obstacles_2,firealarms,small,55.7,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 15.9]"
obstacles_2,firealarms,medium,76.2,"[50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 49.9, 49.7, 49.6, 49.5, 49.5, 49.5, 49.5, 49.5, 49.5, 49.4, 49.4, 49.4, 49.2, 49.2, 49.2, 49.2, 49.2, 49.2, 49.2, 49.2, 49.2, 49.2, 49.2, 49.2, 49.2, 49.2, 49.2, 49.2, 49.2, 49.2, 49.2, 49.2, 49.2, 49.2, 49.2, 49.2, 49.2, 49.2, 49.2, 49.1, 49.1, 48.9, 48.9, 48.9, 48.9, 48.9, 48.9, 48.9, 48.9, 48.9, 48.9, 48.9, 48.9, 48.9, 48.9, 48.9, 48.9, 48.9, 48.9, 48.8, 48.8, 48.8, 48.8, 48.7, 48.7, 48.7, 48.7, 48.7, 48.7, 48.7, 48.7, 48.7, 48.7, 48.7, 48.7, 48.7, 48.7, 48.7]"
obstacles_2,firealarms,large,83.5,"[84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 84.0, 83.9, 83.9, 83.9, 83.6, 83.6, 83.5, 83.5, 83.4, 83.3, 83.3, 83.3, 83.3, 83.3, 83.1, 83.1, 83.0, 83.0, 82.9, 82.9, 82.9, 82.9, 82.8, 82.8, 82.6, 82.6, 82.6, 82.6, 82.5, 82.4, 82.3, 82.2, 82.2, 82.2, 82.2, 82.2, 82.2, 82.2, 82.2, 82.1, 81.7, 81.7, 81.7, 81.6, 81.5, 81.4, 81.4, 81.4, 81.4, 81.4, 81.3, 81.2, 81.0, 80.9, 80.8, 80.5, 80.5, 80.5, 80.4, 80.4, 80.4, 80.4, 80.4, 80.2, 80.2, 80.2, 80.2, 80.1, 79.9, 79.9, 79.8, 79.7, 79.6, 79.6, 79.5, 79.4, 79.3, 79.3, 79.3, 79.3, 79.3, 79.3, 79.2]"
obstacles_2,combined,small,56.0,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 15.9]"
