map,scenario,evacuee_density,average_completion_time,average_survival_rate
threedoors,no aids,small,48.7,"[11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.8, 10.8, 10.8, 10.8, 10.8, 10.8, 10.8, 10.8, 10.7, 10.7, 10.7, 10.6]"
threedoors,no aids,medium,55.8,"[33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 32.8, 32.8, 32.8, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.7, 32.6, 32.6, 32.6, 32.5, 32.4, 32.4, 32.4, 32.4, 32.4, 32.4, 32.4, 32.2, 32.1, 32.1, 32.1, 32.0, 32.0, 32.0, 31.9]"
threedoors,no aids,large,58.7,"[56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 55.9, 55.8, 55.8, 55.7, 55.7, 55.7, 55.7, 55.4, 55.4, 55.3, 55.2, 55.1, 54.8, 54.3, 54.1, 53.7, 53.3, 53.3, 52.9, 52.6, 52.5, 52.3, 52.3, 52.1, 52.0, 51.6, 51.4, 51.2, 51.0, 51.0, 50.8, 50.6, 50.6, 50.6, 50.5, 50.4, 50.3, 50.3, 50.2, 50.1, 50.0]"
threedoors,lightstrips,small,49.6,"[11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.8, 10.8, 10.8, 10.8, 10.8, 10.8, 10.8, 10.8, 10.8, 10.8, 10.8, 10.8, 10.7, 10.7, 10.7, 10.7, 10.7, 10.7, 10.7, 10.7, 10.7, 10.7, 10.7, 10.6, 10.6, 10.5]"
threedoors,lightstrips,medium,56.7,"[33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 32.9, 32.9, 32.9, 32.9, 32.9, 32.9, 32.9, 32.9, 32.9, 32.9, 32.9, 32.9, 32.9, 32.9, 32.9, 32.8, 32.8, 32.8, 32.8, 32.8, 32.6, 32.6, 32.6, 32.5, 32.5, 32.5, 32.5, 32.4, 32.4, 32.3, 32.3, 32.3, 32.3, 32.2, 32.2, 32.2, 31.9, 31.9, 31.9, 31.9, 31.9, 31.8]"
threedoors,lightstrips,large,59.8,"[56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 55.9, 55.9, 55.9, 55.9, 55.9, 55.9, 55.9, 55.9, 55.9, 55.9, 55.8, 55.8, 55.8, 55.8, 55.8, 55.8, 55.8, 55.8, 55.7, 55.6, 55.1, 55.1, 54.8, 54.5, 54.2, 54.1, 53.9, 53.9, 53.7, 53.4, 53.4, 53.2, 53.2, 52.9, 52.7, 52.4, 52.4, 52.2, 51.9, 51.6, 51.6, 51.4, 51.4, 51.4, 51.4, 51.4, 51.3, 51.2, 51.2, 51.2, 51.1, 51.0]"
threedoors,firealarms,small,38.1,"[11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.8, 10.8, 10.8, 10.8]"
threedoors,firealarms,medium,44.0,"[33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0, 33.0]"
threedoors,firealarms,large,54.0,"[56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 56.0, 55.9, 55.8, 55.7, 55.4, 55.1, 54.3, 54.0, 53.9, 53.8, 53.8, 53.7, 53.6, 53.5, 53.5, 53.5, 53.3, 53.3, 53.2, 53.2, 53.2, 53.2]"
threedoors,combined,small,37.9,"[11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.9, 10.8, 10.8, 10.8, 10.8, 10.8, 10.8, 10.8, 10.8, 10.8, 10.8, 10.8, 10.8, 10.8]"
