seed,evacuee_density,scenario,completion_time,death_rate_percent
1824,small,no aids,91,41.48148148148148
1824,small,lightstrips,98,41.48148148148148
1824,small,firealarms,93,40.74074074074074
1824,small,combined,98,41.48148148148148
1824,medium,no aids,89,55.44554455445545
1824,medium,lightstrips,93,58.91089108910891
1824,medium,firealarms,91,58.415841584158414
1824,medium,combined,89,57.42574257425742
1824,large,no aids,94,64.44444444444444
1824,large,lightstrips,93,65.18518518518519
1824,large,firealarms,97,66.66666666666666
1824,large,combined,87,67.03703703703704
409,small,no aids,101,30.37037037037037
409,small,lightstrips,104,33.33333333333333
409,small,firealarms,103,30.37037037037037
409,small,combined,96,27.40740740740741
409,medium,no aids,101,47.02970297029702
409,medium,lightstrips,102,52.475247524752476
409,medium,firealarms,101,46.53465346534654
409,medium,combined,100,52.475247524752476
409,large,no aids,102,54.81481481481482
409,large,lightstrips,106,58.88888888888889
409,large,firealarms,100,58.88888888888889
409,large,combined,104,57.77777777777777s
